Museum Name,ItemCount,Latitude,Longitude
Комунальний заклад «Лебединський міський краєзнавчий музей» Лебединської міської ради,2,50.5871,34.4996
Комунальний заклад «Охтирський міський краєзнавчий музей»,4,50.3217,34.9027
Комунальний заклад «Павлоградський історико-краєзнавчий музей» Павлоградської міської ради,2,48.5333,35.8667
Комунальний заклад Сумської обласної ради «Сумський обласний краєзнавчий музей»,12,50.9077,34.7981
Комунальний заклад Сумської обласної ради «Сумський обласний художній музей ім.Никанора Онацького»,28,50.9116,34.7984
Меморіальний будинок-музей А. П. Чехова в м. Суми,2,50.9066,34.8067
Національний Києво-Печерський історико-культурний заповідник,27,50.4356,30.5626
Національний архітектурно-історичний заповідник Чернігів стародавній,24,51.4979,31.2928
Національний заповідник Києво-Печерська лавра,123,50.4349,30.5595
Національний музей Тараса Шевченка,5,50.4399,30.5286
Національний музей літератури України,4,50.4464,30.5187
Національний музей у Львові імені Андрея Шептицького,7,49.8397,24.0297
Національний музей історії України,353,50.4454,30.5175
Національний художній музей України,3,50.4501,30.5243
Національний історико-культурний заповідник Чигирин,10,49.0884,32.6784
